"","Family","Species","New.Genus","New.Species"
"15901","Moraceae","Ficus microcarpa","Ficus","microcarpa"
"15914","Moraceae","Ficus microphylla","Ficus","microphylla"
"15915","Moraceae","Ficus minahassae","Ficus","minahassae"
"15918","Moraceae","Ficus luschnathiana","Ficus","luschnathiana"
"15923","Moraceae","Ficus obliqua","Ficus","obliqua"
"15925","Moraceae","Ficus opposita","Ficus","opposita"
"15928","Moraceae","Ficus palmata","Ficus","palmata"
"15933","Moraceae","Ficus palmeri","Ficus","palmeri"
"15935","Moraceae","Ficus pandurata","Ficus","pandurata"
"15938","Moraceae","Ficus platyphylla","Ficus","platyphylla"
"15941","Moraceae","Ficus polita","Ficus","polita"
"15943","Moraceae","Ficus polyphlebia","Ficus","polyphlebia"
"15944","Moraceae","Ficus pseudopalma","Ficus","pseudopalma"
"15946","Moraceae","Ficus pumila","Ficus","pumila"
"15958","Moraceae","Ficus racemosa","Ficus","racemosa"
"15962","Moraceae","Ficus religiosa","Ficus","religiosa"
"15982","Moraceae","Ficus repens","Ficus","repens"
"15985","Moraceae","Ficus retusa","Ficus","retusa"
"16000","Moraceae","Ficus rubiginosa","Ficus","rubiginosa"
"16005","Moraceae","Ficus rubra","Ficus","rubra"
"16006","Moraceae","Ficus sarmentosa","Ficus","sarmentosa"
"16008","Moraceae","Ficus scabra","Ficus","scabra"
"16010","Moraceae","Ficus semicordata","Ficus","semicordata"
"16013","Moraceae","Ficus septica","Ficus","septica"
"16017","Moraceae","Ficus subulata","Ficus","subulata"
"16018","Moraceae","Ficus sur","Ficus","sur"
"16021","Moraceae","Ficus sycomorus","Ficus","sycomorus"
"16033","Moraceae","Ficus theophrastoides","Ficus","theophrastoides"
"16034","Moraceae","Ficus thonningii","Ficus","thonningii"
"16045","Moraceae","Ficus ulmifolia","Ficus","ulmifolia"
"16047","Moraceae","Ficus vallis-choudae","Ficus","vallis-choudae"
"16048","Moraceae","Ficus vasculosa","Ficus","vasculosa"
"16049","Moraceae","Ficus vasta","Ficus","vasta"
"16050","Moraceae","Ficus virens","Ficus","virens"
"16062","Sapindaceae","Filicium decipiens","Filicium","decipiens"
"16063","Rosaceae","Filipendula rubra","Filipendula","rubra"
"16064","Rosaceae","Filipendula ulmaria","Filipendula","ulmaria"
"16065","Rosaceae","Filipendula vulgaris","Filipendula","vulgaris"
"16066","Cyperaceae","Fimbristylis cymosa","Fimbristylis","cymosa"
"16067","Cyperaceae","Bulbostylis hispidula","Bulbostylis","hispidula"
"16069","Cyperaceae","Fimbristylis quinquangularis","Fimbristylis","quinquangularis"
"16070","Cyperaceae","Fimbristylis pauciflora","Fimbristylis","pauciflora"
"16071","Malvaceae","Firmiana diversifolia","Firmiana","diversifolia"
"16072","Malvaceae","Firmiana simplex","Firmiana","simplex"
"16077","Compositae","Fitchia speciosa","Fitchia","speciosa"
"16078","Acanthaceae","Fittonia albivenis","Fittonia","albivenis"
"16080","Cupressaceae","Fitzroya cupressoides","Fitzroya","cupressoides"
"16081","Salicaceae","Flacourtia indica","Flacourtia","indica"
"16089","Salicaceae","Flacourtia inermis","Flacourtia","inermis"
"16091","Salicaceae","Flacourtia jangomas","Flacourtia","jangomas"
"16093","Salicaceae","Flacourtia rukam","Flacourtia","rukam"
"16094","Flagellariaceae","Flagellaria guineensis","Flagellaria","guineensis"
"16095","Flagellariaceae","Flagellaria indica","Flagellaria","indica"
"16096","Compositae","Flaveria trinervia","Flaveria","trinervia"
"16097","Leguminosae","Flemingia chappar","Flemingia","chappar"
"16098","Leguminosae","Flemingia macrophylla","Flemingia","macrophylla"
"16104","Leguminosae","Flemingia paniculata","Flemingia","paniculata"
"16105","Leguminosae","Flemingia stricta","Flemingia","stricta"
"16108","Leguminosae","Flemingia strobilifera","Flemingia","strobilifera"
"16111","Rubiaceae","Fleroya stipulosa","Fleroya","stipulosa"
"16112","Rutaceae","Flindersia australis","Flindersia","australis"
"16113","Rutaceae","Flindersia bennettiana","Flindersia","bennettiana"
"16114","Rutaceae","Flindersia brayleyana","Flindersia","brayleyana"
"16116","Rutaceae","Flindersia xanthoxyla","Flindersia","xanthoxyla"
"16117","Phyllanthaceae","Flueggea leucopyrus","Flueggea","leucopyrus"
"16118","Phyllanthaceae","Flueggea tinctoria","Flueggea","tinctoria"
"16119","Phyllanthaceae","Flueggea virosa","Flueggea","virosa"
"16122","Apiaceae","Foeniculum vulgare","Foeniculum","vulgare"
"16155","Oleaceae","Fontanesia fortunei","Fontanesia","fortunei"
"16156","Oleaceae","Forestiera acuminata","Forestiera","acuminata"
"16157","Oleaceae","Forsythia intermedia","Forsythia","intermedia"
"16167","Oleaceae","Forsythia koreana","Forsythia","koreana"
"16171","Oleaceae","Forsythia suspensa","Forsythia","suspensa"
"16181","Oleaceae","Forsythia viridissima","Forsythia","viridissima"
"16188","Hamamelidaceae","Fortunearia sinensis","Fortunearia","sinensis"
"16208","Fouquieriaceae","Fouquieria splendens","Fouquieria","splendens"
"16210","Rosaceae","Fragaria ananassa","Fragaria","ananassa"
"16281","Rosaceae","Fragaria vesca","Fragaria","vesca"
"16282","Rosaceae","Fragaria chiloensis","Fragaria","chiloensis"
"16319","Rosaceae","Fragaria hayatai","Fragaria","hayatai"
"16323","Rosaceae","Fragaria moschata","Fragaria","moschata"
"16326","Rosaceae","Fragaria nipponica","Fragaria","nipponica"
"16327","Rosaceae","Fragaria orientalis","Fragaria","orientalis"
"16329","Rosaceae","Fragaria platypetala","Fragaria","platypetala"
"16372","Rosaceae","Fragaria virginiana","Fragaria","virginiana"
"16379","Rosaceae","Fragaria viridis","Fragaria","viridis"
"16403","Rhamnaceae","Frangula alnus","Frangula","alnus"
"16410","Compositae","Franseria acanthicarpa","Franseria","acanthicarpa"
"16411","Compositae","Ambrosia dumosa","Ambrosia","dumosa"
"16414","Oleaceae","Fraxinus americana","Fraxinus","americana"
"16436","Oleaceae","Fraxinus angustifolia","Fraxinus","angustifolia"
"16442","Oleaceae","Fraxinus caroliniana","Fraxinus","caroliniana"
"16443","Oleaceae","Fraxinus chinensis","Fraxinus","chinensis"
"16446","Oleaceae","Fraxinus dipetala","Fraxinus","dipetala"
"16447","Oleaceae","Fraxinus excelsior","Fraxinus","excelsior"
"16496","Oleaceae","Fraxinus pallisae","Fraxinus","pallisae"
"16498","Oleaceae","Fraxinus pennsylvanica","Fraxinus","pennsylvanica"
"16502","Oleaceae","Fraxinus latifolia","Fraxinus","latifolia"
"16506","Oleaceae","Fraxinus longicuspis","Fraxinus","longicuspis"
"16507","Oleaceae","Fraxinus cuspidata","Fraxinus","cuspidata"
"16508","Oleaceae","Fraxinus mandshurica","Fraxinus","mandshurica"
"16512","Oleaceae","Fraxinus nigra","Fraxinus","nigra"
"16519","Oleaceae","Fraxinus ornus","Fraxinus","ornus"
"16546","Oleaceae","Fraxinus quadrangulata","Fraxinus","quadrangulata"
"16547","Oleaceae","Fraxinus insularis","Fraxinus","insularis"
"16552","Oleaceae","Fraxinus sieboldiana","Fraxinus","sieboldiana"
"16554","Oleaceae","Fraxinus sogdiana","Fraxinus","sogdiana"
"16555","Oleaceae","Fraxinus platypoda","Fraxinus","platypoda"
"16559","Oleaceae","Fraxinus uhdei","Fraxinus","uhdei"
"16561","Oleaceae","Fraxinus velutina","Fraxinus","velutina"
"16572","Oleaceae","Fraxinus xanthoxyloides","Fraxinus","xanthoxyloides"
"16573","Iridaceae","Freesia refracta","Freesia","refracta"
"16576","Malvaceae","Fremontodendron californicum","Fremontodendron","californicum"
"16577","Pandanaceae","Freycinetia baueriana","Freycinetia","baueriana"
"16578","Liliaceae","Fritillaria camschatcensis","Fritillaria","camschatcensis"
"16579","Liliaceae","Fritillaria pallidiflora","Fritillaria","pallidiflora"
"16580","Liliaceae","Fritillaria usuriensis","Fritillaria","usuriensis"
"16581","Amaranthaceae","Froelichia floridana","Froelichia","floridana"
"16583","Onagraceae","Fuchsia boliviana","Fuchsia","boliviana"
"16584","Onagraceae","Fuchsia excorticata","Fuchsia","excorticata"
"16588","Onagraceae","Fuchsia fulgens","Fuchsia","fulgens"
"16589","Onagraceae","Fuchsia hybrida","Fuchsia","hybrida"
"16593","Onagraceae","Fuchsia magellanica","Fuchsia","magellanica"
"16598","Papaveraceae","Fumaria capreolata","Fumaria","capreolata"
"16599","Papaveraceae","Fumaria officinalis","Fumaria","officinalis"
"16602","Papaveraceae","Fumaria vaillantii","Fumaria","vaillantii"
"16603","Apocynaceae","Sarcostemma cynanchoides","Sarcostemma","cynanchoides"
"16604","Apocynaceae","Funtumia africana","Funtumia","africana"
"16605","Apocynaceae","Funtumia elastica","Funtumia","elastica"
"16606","Asparagaceae","Furcraea foetida","Furcraea","foetida"
"16614","Cyperaceae","Gahnia grandis","Gahnia","grandis"
"16615","Compositae","Gaillardia aristata","Gaillardia","aristata"
"16618","Compositae","Gaillardia picta","Gaillardia","picta"
"16620","Compositae","Gaillardia pulchella","Gaillardia","pulchella"
"16623","Leguminosae","Galactia striata","Galactia","striata"
"16625","Compositae","Galactites tomentosa","Galactites","tomentosa"
"16627","Amaryllidaceae","Galanthus nivalis","Galanthus","nivalis"
"16630","Leguminosae","Galega officinalis","Galega","officinalis"
"16633","Leguminosae","Galega orientalis","Galega","orientalis"
"16637","Lamiaceae","Lamium galeobdolon","Lamium","galeobdolon"
"16638","Orchidaceae","Cyrtosia septentrionalis","Cyrtosia","septentrionalis"
"16639","Lamiaceae","Galeopsis ladanum","Galeopsis","ladanum"
"16641","Lamiaceae","Galeopsis segetum","Galeopsis","segetum"
"16642","Lamiaceae","Galeopsis speciosa","Galeopsis","speciosa"
"16643","Lamiaceae","Galeopsis tetrahit","Galeopsis","tetrahit"
"16647","Rubiaceae","Galianthe brasiliensis","Galianthe","brasiliensis"
"16648","Compositae","Galinsoga quadriradiata","Galinsoga","quadriradiata"
"16649","Compositae","Galinsoga parviflora","Galinsoga","parviflora"
"16670","Rubiaceae","Galium aparine","Galium","aparine"
"16674","Rubiaceae","Galium mollugo","Galium","mollugo"
"16675","Rubiaceae","Galium odoratum","Galium","odoratum"
"16677","Rubiaceae","Galium verrucosum","Galium","verrucosum"
"16678","Rubiaceae","Galium verum","Galium","verum"
"16680","Asparagaceae","Ornithogalum candicans","Ornithogalum","candicans"
"16682","Clusiaceae","Garcinia aristata","Garcinia","aristata"
"16683","Clusiaceae","Garcinia brasiliensis","Garcinia","brasiliensis"
"16684","Clusiaceae","Garcinia elliptica","Garcinia","elliptica"
"16685","Clusiaceae","Garcinia kydia","Garcinia","kydia"
"16686","Clusiaceae","Garcinia livingstonei","Garcinia","livingstonei"
"16687","Clusiaceae","Garcinia mangostana","Garcinia","mangostana"
"16696","Clusiaceae","Garcinia multiflora","Garcinia","multiflora"
"16697","Clusiaceae","Garcinia ovalifolia","Garcinia","ovalifolia"
"16698","Clusiaceae","Garcinia spicata","Garcinia","spicata"
"16701","Clusiaceae","Garcinia subelliptica","Garcinia","subelliptica"
"16702","Clusiaceae","Garcinia xanthochymus","Garcinia","xanthochymus"
"16703","Rubiaceae","Gardenia jasminoides","Gardenia","jasminoides"
"16739","Rubiaceae","Gardenia taitensis","Gardenia","taitensis"
"16740","Garryaceae","Garrya elliptica","Garrya","elliptica"
"16741","Garryaceae","Garrya flavescens","Garrya","flavescens"
"16742","Garryaceae","Garrya laurifolia","Garrya","laurifolia"
"16743","Garryaceae","Garrya ovata","Garrya","ovata"
"16744","Burseraceae","Garuga floribunda","Garuga","floribunda"
"16745","Burseraceae","Garuga pinnata","Garuga","pinnata"
"16747","Orchidaceae","Gastrodia elata","Gastrodia","elata"
"16748","Ericaceae","Gaultheria adenothrix","Gaultheria","adenothrix"
"16749","Ericaceae","Gaultheria procumbens","Gaultheria","procumbens"
"16751","Ericaceae","Gaultheria shallon","Gaultheria","shallon"
"16754","Onagraceae","Gaura biennis","Gaura","biennis"
"16755","Onagraceae","Gaura coccinea","Gaura","coccinea"
"16756","Onagraceae","Gaura lindheimeri","Gaura","lindheimeri"
"16757","Onagraceae","Gaura neomexicana","Gaura","neomexicana"
"16758","Arecaceae","Gaussia princeps","Gaussia","princeps"
"16759","Compositae","Gazania rigens","Gazania","rigens"
"16762","Rutaceae","Geijera parviflora","Geijera","parviflora"
"16763","Rutaceae","Geijera salicifolia","Geijera","salicifolia"
"16765","Euphorbiaceae","Suregada multiflora","Suregada","multiflora"
"16766","Gelsemiaceae","Gelsemium sempervirens","Gelsemium","sempervirens"
"16771","Loganiaceae","Geniostoma rupestre","Geniostoma","rupestre"
"16772","Leguminosae","Genista acanthoclada","Genista","acanthoclada"
"16773","Leguminosae","Genista linifolia","Genista","linifolia"
"16774","Leguminosae","Genista lydia","Genista","lydia"
"16775","Leguminosae","Genista monspessulana","Genista","monspessulana"
"16777","Leguminosae","Genista tinctoria","Genista","tinctoria"
"16781","Gentianaceae","Gentiana acaulis","Gentiana","acaulis"
"16782","Gentianaceae","Gentiana andrewsii","Gentiana","andrewsii"
"16783","Gentianaceae","Gentianella antarctica","Gentianella","antarctica"
"16784","Gentianaceae","Gentiana asclepiadea","Gentiana","asclepiadea"
"16785","Gentianaceae","Gentiana septemfida","Gentiana","septemfida"
"16787","Gentianaceae","Gentiana verna","Gentiana","verna"
"16788","Orchidaceae","Geodorum densiflorum","Geodorum","densiflorum"
"16793","Rubiaceae","Geophila renaris","Geophila","renaris"
"16794","Geraniaceae","Geranium carolinianum","Geranium","carolinianum"
"16802","Geraniaceae","Geranium cinereum","Geranium","cinereum"
"16803","Geraniaceae","Geranium dalmaticum","Geranium","dalmaticum"
"16804","Geraniaceae","Geranium dissectum","Geranium","dissectum"
"16807","Geraniaceae","Geranium endressii","Geranium","endressii"
"16808","Geraniaceae","Geranium maculatum","Geranium","maculatum"
"16810","Geraniaceae","Geranium molle","Geranium","molle"
"16813","Geraniaceae","Geranium nepalense","Geranium","nepalense"
"16814","Geraniaceae","Geranium pusillum","Geranium","pusillum"
"16815","Geraniaceae","Geranium simense","Geranium","simense"
"16816","Geraniaceae","Geranium wilfordii","Geranium","wilfordii"
"16817","Compositae","Gerbera hybrida","Gerbera","hybrida"
"16818","Compositae","Gerbera jamesonii","Gerbera","jamesonii"
"16845","Gesneriaceae","Gesneria umbellata","Gesneria","umbellata"
"16847","Rosaceae","Geum aleppicum","Geum","aleppicum"
"16848","Rosaceae","Geum canadense","Geum","canadense"
"16849","Rosaceae","Geum coccineum","Geum","coccineum"
"16851","Rosaceae","Geum rivale","Geum","rivale"
"16852","Rosaceae","Geum montanum","Geum","montanum"
"16854","Rosaceae","Geum urbanum","Geum","urbanum"
"16855","Proteaceae","Gevuina avellana","Gevuina","avellana"
"16856","Polemoniaceae","Gilia achilleifolia","Gilia","achilleifolia"
"16857","Polemoniaceae","Gilia capitata","Gilia","capitata"
"16859","Polemoniaceae","Microsteris gracilis","Microsteris","gracilis"
"16860","Polemoniaceae","Gilia minima","Gilia","minima"
"16861","Polemoniaceae","Gilia rubra","Gilia","rubra"
"16863","Ginkgoaceae","Ginkgo biloba","Ginkgo","biloba"
"16881","Gisekiaceae","Gisekia pharnaceoides","Gisekia","pharnaceoides"
"16882","Euphorbiaceae","Givotia moluccana","Givotia","moluccana"
"16884","Iridaceae","Gladiolus cardinalis","Gladiolus","cardinalis"
"16885","Iridaceae","Gladiolus carneus","Gladiolus","carneus"
"16886","Iridaceae","Gladiolus hybridus","Gladiolus","hybridus"
"16916","Iridaceae","Gladiolus illyricus","Gladiolus","illyricus"
"16918","Iridaceae","Gladiolus dalenii","Gladiolus","dalenii"
"16920","Iridaceae","Gladiolus gandavensis","Gladiolus","gandavensis"
"16922","Iridaceae","Gladiolus hortulanus","Gladiolus","hortulanus"
"16923","Verbenaceae","Glandularia hybrida","Glandularia","hybrida"
"16932","Lamiaceae","Glechoma hederacea","Glechoma","hederacea"
"16934","Leguminosae","Gleditsia aquatica","Gleditsia","aquatica"
"16935","Leguminosae","Gleditsia caspia","Gleditsia","caspia"
"16937","Leguminosae","Gleditsia japonica","Gleditsia","japonica"
"16938","Leguminosae","Gleditsia sinensis","Gleditsia","sinensis"
"16940","Leguminosae","Gleditsia triacanthos","Gleditsia","triacanthos"
"16965","Apiaceae","Glehnia littoralis","Glehnia","littoralis"
"16966","Leguminosae","Gliricidia maculata","Gliricidia","maculata"
"16969","Leguminosae","Gliricidia sepium","Gliricidia","sepium"
"16985","Phyllanthaceae","Glochidion eriocarpum","Glochidion","eriocarpum"
"16986","Phyllanthaceae","Glochidion puberum","Glochidion","puberum"
"16987","Phyllanthaceae","Glochidion ramiflorum","Glochidion","ramiflorum"
"16989","Phyllanthaceae","Glochidion rubrum","Glochidion","rubrum"
"16990","Colchicaceae","Gloriosa superba","Gloriosa","superba"
"16991","Leguminosae","Glottidium vesicarium","Glottidium","vesicarium"
"16992","Poaceae","Glyceria fluitans","Glyceria","fluitans"
"16994","Poaceae","Glyceria maxima","Glyceria","maxima"
"16997","Poaceae","Glyceria pulchella","Glyceria","pulchella"
"16998","Poaceae","Glyceria striata","Glyceria","striata"
"16999","Leguminosae","Neonotonia wightii","Neonotonia","wightii"
"17000","Leguminosae","Glycine max","Glycine","max"
"17020","Leguminosae","Pueraria montana","Pueraria","montana"
"17170","Leguminosae","Glycine priceana","Glycine","priceana"
"17173","Leguminosae","Glycine tabacina","Glycine","tabacina"
"17179","Leguminosae","Glycyrrhiza glabra","Glycyrrhiza","glabra"
"17180","Rutaceae","Glycosmis pentaphylla","Glycosmis","pentaphylla"
"17196","Leguminosae","Glycyrrhiza uralensis","Glycyrrhiza","uralensis"
"17203","Lamiaceae","Gmelina arborea","Gmelina","arborea"
"17208","Lamiaceae","Gmelina asiatica","Gmelina","asiatica"
"17209","Lamiaceae","Gmelina leichardtii","Gmelina","leichardtii"
"17210","Compositae","Helichrysum indicum","Helichrysum","indicum"
"17211","Compositae","Euchiton japonicus","Euchiton","japonicus"
"17213","Compositae","Laphangium luteoalbum","Laphangium","luteoalbum"
"17216","Compositae","Pseudognaphalium obtusifolium","Pseudognaphalium","obtusifolium"
"17217","Compositae","Gnaphalium purpureum","Gnaphalium","purpureum"
"17219","Compositae","Gnaphalium pensylvanicum","Gnaphalium","pensylvanicum"
"17220","Compositae","Gnaphalium uliginosum","Gnaphalium","uliginosum"
"17223","Gnetaceae","Gnetum luofuense","Gnetum","luofuense"
"17224","Gnetaceae","Gnetum parvifolium","Gnetum","parvifolium"
"17225","Gnetaceae","Gnetum scandens","Gnetum","scandens"
"17226","Compositae","Gochnatia pulchra","Gochnatia","pulchra"
"17227","Onagraceae","Clarkia amoena","Clarkia","amoena"
"17230","Ochnaceae","Godoya splendida","Godoya","splendida"
"17236","Amaranthaceae","Gomphrena celosioides","Gomphrena","celosioides"
"17238","Amaranthaceae","Gomphrena serrata","Gomphrena","serrata"
"17240","Amaranthaceae","Gomphrena globosa","Gomphrena","globosa"
"17252","Rubiaceae","Gonzalagunia hirsuta","Gonzalagunia","hirsuta"
"17253","Goodeniaceae","Goodenia rotundifolia","Goodenia","rotundifolia"
"17254","Theaceae","Gordonia lasianthus","Gordonia","lasianthus"
"17256","Myrtaceae","Gossia bidwillii","Gossia","bidwillii"
"17257","Myrtaceae","Gossia hillii","Gossia","hillii"
"17258","Malvaceae","Gossypium anomalum","Gossypium","anomalum"
"17259","Malvaceae","Gossypium arboreum","Gossypium","arboreum"
"17269","Malvaceae","Gossypium aridum","Gossypium","aridum"
"17270","Malvaceae","Gossypium harknessii","Gossypium","harknessii"
"17271","Malvaceae","Gossypium australe","Gossypium","australe"
"17272","Malvaceae","Gossypium barbadense","Gossypium","barbadense"
"17292","Malvaceae","Gossypium bickii","Gossypium","bickii"
"17293","Malvaceae","Gossypium darwinii","Gossypium","darwinii"
"17295","Malvaceae","Gossypium klotzschianum","Gossypium","klotzschianum"
"17296","Malvaceae","Gossypium gossypioides","Gossypium","gossypioides"
"17298","Malvaceae","Gossypium herbaceum","Gossypium","herbaceum"
"17321","Malvaceae","Gossypium hirsutum","Gossypium","hirsutum"
"17424","Malvaceae","Gossypium raimondii","Gossypium","raimondii"
"17425","Malvaceae","Gossypium somalense","Gossypium","somalense"
"17426","Malvaceae","Gossypium stocksii","Gossypium","stocksii"
"17427","Malvaceae","Gossypium sturtianum","Gossypium","sturtianum"
"17428","Malvaceae","Thespesia lampas","Thespesia","lampas"
"17432","Malvaceae","Gossypium trilobum","Gossypium","trilobum"
"17433","Goupiaceae","Goupia glabra","Goupia","glabra"
"17434","Solanaceae","Grabowskia glauca","Grabowskia","glauca"
"17435","Orchidaceae","Grammatophyllum speciosum","Grammatophyllum","speciosum"
"17436","Crassulaceae","Graptopetalum rusbyi","Graptopetalum","rusbyi"
"17437","Acanthaceae","Graptophyllum pictum","Graptophyllum","pictum"
"17443","Proteaceae","Grevillea agrifolia","Grevillea","agrifolia"
"17444","Proteaceae","Grevillea alpina","Grevillea","alpina"
"17445","Proteaceae","Grevillea banksii","Grevillea","banksii"
"17448","Proteaceae","Grevillea heliosperma","Grevillea","heliosperma"
"17449","Proteaceae","Grevillea robusta","Grevillea","robusta"
"17482","Proteaceae","Grevillea rosmarinifolia","Grevillea","rosmarinifolia"
"17483","Proteaceae","Grevillea wilsonii","Grevillea","wilsonii"
"17484","Malvaceae","Grewia asiatica","Grewia","asiatica"
"17495","Malvaceae","Grewia hirsuta","Grewia","hirsuta"
"17496","Malvaceae","Grewia occidentalis","Grewia","occidentalis"
"17497","Malvaceae","Grewia oppositifolia","Grewia","oppositifolia"
"17498","Malvaceae","Grewia orientalis","Grewia","orientalis"
"17499","Malvaceae","Grewia tenax","Grewia","tenax"
"17500","Malvaceae","Grewia tiliifolia","Grewia","tiliifolia"
"17501","Melianthaceae","Greyia sutherlandii","Greyia","sutherlandii"
"17502","Leguminosae","Griffonia speciosa","Griffonia","speciosa"
"17503","Compositae","Grindelia glutinosa","Grindelia","glutinosa"
"17504","Compositae","Grindelia hirsutula","Grindelia","hirsutula"
"17505","Cornaceae","Griselinia lucida","Griselinia","lucida"
"17507","Poaceae","Guadua paniculata","Guadua","paniculata"
"17508","Meliaceae","Guarea guidonia","Guarea","guidonia"
"17511","Annonaceae","Guatteria dumetorum","Guatteria","dumetorum"
"17512","Malvaceae","Guazuma ulmifolia","Guazuma","ulmifolia"
"17519","Leguminosae","Gueldenstaedtia multiflora","Gueldenstaedtia","multiflora"
"17520","Rubiaceae","Guettarda speciosa","Guettarda","speciosa"
"17526","Sapindaceae","Guioa semiglauca","Guioa","semiglauca"
"17527","Compositae","Guizotia abyssinica","Guizotia","abyssinica"
"17537","Compositae","Gundelia tournefortii","Gundelia","tournefortii"
"17538","Gunneraceae","Gunnera tinctoria","Gunnera","tinctoria"
"17540","Orchidaceae","Gymnadenia conopsea","Gymnadenia","conopsea"
"17542","Compositae","Gymnanthemum appendiculatum","Gymnanthemum","appendiculatum"
"17543","Compositae","Gymnanthemum urticifolium","Gymnanthemum","urticifolium"
"17544","Apocynaceae","Gymnema sylvestre","Gymnema","sylvestre"
"17546","Leguminosae","Gymnocladus dioica","Gymnocladus","dioica"
"17547","Celastraceae","Gymnosporia arbutifolia","Gymnosporia","arbutifolia"
"17548","Celastraceae","Gymnosporia buxifolia","Gymnosporia","buxifolia"
"17550","Celastraceae","Gymnosporia laurina","Gymnosporia","laurina"
"17551","Celastraceae","Gymnosporia senegalensis","Gymnosporia","senegalensis"
"17553","Cucurbitaceae","Gynostemma pentaphyllum","Gynostemma","pentaphyllum"
"17554","Compositae","Gynoxys oleifolia","Gynoxys","oleifolia"
"17558","Compositae","Gynura amplexicaulis","Gynura","amplexicaulis"
"17559","Compositae","Gynura aurantiaca","Gynura","aurantiaca"
"17565","Compositae","Gynura bicolor","Gynura","bicolor"
"17569","Compositae","Gynura procumbens","Gynura","procumbens"
"17570","Caryophyllaceae","Gypsophila cerastoides","Gypsophila","cerastoides"
"17571","Caryophyllaceae","Gypsophila elegans","Gypsophila","elegans"
"17575","Caryophyllaceae","Gypsophila paniculata","Gypsophila","paniculata"
"17590","Amaryllidaceae","Scadoxus multiflorus","Scadoxus","multiflorus"
"17591","Proteaceae","Hakea prostrata","Hakea","prostrata"
"17592","Proteaceae","Hakea salicifolia","Hakea","salicifolia"
"17593","Proteaceae","Hakea sericea","Hakea","sericea"
"17597","Styracaceae","Halesia carolina","Halesia","carolina"
"17598","Styracaceae","Halesia diptera","Halesia","diptera"
"17599","Styracaceae","Halesia tetraptera","Halesia","tetraptera"
"17600","Cistaceae","Halimium lasianthum","Halimium","lasianthum"
"17601","Stilbaceae","Halleria lucida","Halleria","lucida"
"17603","Podocarpaceae","Halocarpus kirkii","Halocarpus","kirkii"
"17604","Cymodoceaceae","Halodule bermudensis","Halodule","bermudensis"
"17605","Hydrocharitaceae","Halophila ovalis","Halophila","ovalis"
"17606","Amaranthaceae","Haloxylon ammodendron","Haloxylon","ammodendron"
"17608","Hamamelidaceae","Hamamelis japonica","Hamamelis","japonica"
"17612","Hamamelidaceae","Hamamelis mollis","Hamamelis","mollis"
"17614","Hamamelidaceae","Hamamelis virginiana","Hamamelis","virginiana"
"17621","Hamamelidaceae","Hamamelis virginica","Hamamelis","virginica"
"17623","Rubiaceae","Hamelia patens","Hamelia","patens"
"17627","Rubiaceae","Spermadictyon suaveolens","Spermadictyon","suaveolens"
"17628","Bignoniaceae","Handroanthus impetiginosus","Handroanthus","impetiginosus"
"17629","Compositae","Croptilon divaricatum","Croptilon","divaricatum"
"17630","Compositae","Ericameria palmeri","Ericameria","palmeri"
"17632","Compositae","Isocoma veneta","Isocoma","veneta"
"17634","Leguminosae","Hardenbergia violacea","Hardenbergia","violacea"
"17636","Anacardiaceae","Harpephyllum caffrum","Harpephyllum","caffrum"
"17639","Sapindaceae","Harpullia pendula","Harpullia","pendula"
"17641","Cactaceae","Harrisia adscendens","Harrisia","adscendens"
"17642","Cactaceae","Cereus portoricensis","Cereus","portoricensis"
"17643","Rutaceae","Harrisonia abyssinica","Harrisonia","abyssinica"
"17644","Cactaceae","Hatiora gaertneri","Hatiora","gaertneri"
"17646","Xanthorrhoeaceae","Haworthia attenuata","Haworthia","attenuata"
"17647","Xanthorrhoeaceae","Haworthia bolusii","Haworthia","bolusii"
"17648","Xanthorrhoeaceae","Haworthia fasciata","Haworthia","fasciata"
"17651","Xanthorrhoeaceae","Haworthia retusa","Haworthia","retusa"
"17653","Xanthorrhoeaceae","Haworthia scabra","Haworthia","scabra"
"17654","Xanthorrhoeaceae","Haworthia venosa","Haworthia","venosa"
"17655","Plantaginaceae","Hebe buxifolia","Hebe","buxifolia"
"17656","Plantaginaceae","Veronica elliptica","Veronica","elliptica"
"17657","Plantaginaceae","Hebe salicifolia","Hebe","salicifolia"
"17658","Plantaginaceae","Veronica speciosa","Veronica","speciosa"
"17659","Araliaceae","Hedera canariensis","Hedera","canariensis"
"17663","Araliaceae","Hedera colchica","Hedera","colchica"
"17665","Araliaceae","Hedera helix","Hedera","helix"
"17714","Araliaceae","Hedera hibernica","Hedera","hibernica"
"17715","Araliaceae","Hedera pastuchovii","Hedera","pastuchovii"
"17717","Araliaceae","Hedera rhombea","Hedera","rhombea"
"17720","Monimiaceae","Hedycarya arborea","Hedycarya","arborea"
"17722","Zingiberaceae","Hedychium coccineum","Hedychium","coccineum"
"17723","Zingiberaceae","Hedychium coronarium","Hedychium","coronarium"
"17729","Zingiberaceae","Hedychium flavum","Hedychium","flavum"
"17731","Zingiberaceae","Hedychium gardnerianum","Hedychium","gardnerianum"
"17732","Leguminosae","Hedysarum boreale","Hedysarum","boreale"
"17733","Leguminosae","Hedysarum coronarium","Hedysarum","coronarium"
"17735","Leguminosae","Hedysarum splendens","Hedysarum","splendens"
"17736","Arecaceae","Hedyscepe canterburyana","Hedyscepe","canterburyana"
